Date,^GSPC,^GDAXI,^N225,^BVSP,^NSEI,^HSI,VIX
2010-10-08,1165.1500244140625,6291.669921875,9588.8798828125,70809.0,6103.4501953125,22944.1796875,20.709999084472656
2010-10-11,1165.3199462890625,6309.509765625,,70946.0,6135.85009765625,23207.310546875,18.959999084472656
2010-10-12,1169.77001953125,6304.56982421875,9388.6396484375,,6090.89990234375,23121.69921875,18.93000030517578
2010-10-13,1178.0999755859375,6434.52001953125,9403.509765625,71675.0,6233.89990234375,23457.689453125,19.06999969482422
2010-10-14,1173.81005859375,6455.27001953125,9583.509765625,71692.0,6177.35009765625,23852.169921875,19.8799991607666
2010-10-15,1176.18994140625,6492.2998046875,9500.25,71830.0,6062.64990234375,23757.630859375,19.030000686645508
2010-10-18,1184.7099609375,6516.6298828125,9498.490234375,71736.0,6075.9501953125,23469.380859375,19.09000015258789
2010-10-19,1165.9000244140625,6490.68994140625,9539.4501953125,69864.0,6027.2998046875,23763.73046875,20.6299991607666
2010-10-20,1178.1700439453125,6524.5498046875,9381.599609375,70405.0,5982.10009765625,23556.5,19.790000915527344
2010-10-21,1180.260009765625,6611.009765625,9376.48046875,69652.0,6101.5,23649.48046875,19.270000457763672
2010-10-22,1183.0799560546875,6605.83984375,9426.7099609375,69530.0,6066.0498046875,23517.5390625,18.780000686645508
2010-10-25,1185.6199951171875,6639.2099609375,9401.16015625,69580.0,6105.7998046875,23627.91015625,19.850000381469727
2010-10-26,1185.6400146484375,6613.7998046875,9377.3798828125,70740.0,6082.0,23601.240234375,20.219999313354492
2010-10-27,1182.449951171875,6568.0,9387.0302734375,70569.0,6012.64990234375,23164.580078125,20.709999084472656
2010-10-28,1183.780029296875,6595.27978515625,9366.0302734375,70320.0,5987.7001953125,23210.859375,20.8799991607666
2010-10-29,1183.260009765625,6601.3701171875,9202.4501953125,70673.0,6017.7001953125,23096.3203125,21.200000762939453
2010-11-01,1184.3800048828125,6604.85986328125,9154.7197265625,71561.0,6117.5498046875,23652.939453125,21.829999923706055
2010-11-02,1193.5699462890625,6654.31005859375,9159.98046875,,6119.0,23671.419921875,21.56999969482422
2010-11-03,1197.9599609375,6617.7998046875,,71905.0,6160.5,24144.669921875,19.559999465942383
2010-11-04,1221.06005859375,6734.68994140625,9358.7802734375,72996.0,6281.7998046875,24535.630859375,18.520000457763672
2010-11-05,1225.8499755859375,6754.2001953125,9625.990234375,72607.0,,24876.8203125,18.260000228881836
